Name,Type of Body,LSGI Name,Constituency,Sl. No. of Constituency
Enmakaje,Grama Panchayat,Enmakaje Grama Panchayat,Manjeshwar,1
Kumbla,Grama Panchayat,Kumbla Grama Panchayat,Manjeshwar,1
Mangalpady,Grama Panchayat,Mangalpady Grama Panchayat,Manjeshwar,1
Manjeshwar,Grama Panchayat,Manjeshwar Grama Panchayat,Manjeshwar,1
Meenja,Grama Panchayat,Meenja Grama Panchayat,Manjeshwar,1
Paivalike,Grama Panchayat,Paivalike Grama Panchayat,Manjeshwar,1
Puthige,Grama Panchayat,Puthige Grama Panchayat,Manjeshwar,1
Vorkady,Grama Panchayat,Vorkady Grama Panchayat,Manjeshwar,1
Kasaragod Municipality,Municipality,Kasaragod Municipality,Kasaragod,2
Badiadka,Grama Panchayat,Badiadka Grama Panchayat,Kasaragod,2
Bellur,Grama Panchayat,Bellur Grama Panchayat,Kasaragod,2
Chengala,Grama Panchayat,Chengala Grama Panchayat,Kasaragod,2
Karadka,Grama Panchayat,Karadka Grama Panchayat,Kasaragod,2
Kumbdaje,Grama Panchayat,Kumbdaje Grama Panchayat,Kasaragod,2
Madhur,Grama Panchayat,Madhur Grama Panchayat,Kasaragod,2
Mogral Puthur,Grama Panchayat,Mogral Puthur Grama Panchayat,Kasaragod,2
Bedadka,Grama Panchayat,Bedadka Grama Panchayat,Udma,3
Chemnad,Grama Panchayat,Chemnad Grama Panchayat,Udma,3
Delampady,Grama Panchayat,Delampady Grama Panchayat,Udma,3
Kuttikole,Grama Panchayat,Kuttikole Grama Panchayat,Udma,3
Muliyar,Grama Panchayat,Muliyar Grama Panchayat,Udma,3
and Pallikere,Grama Panchayat,and Pallikere Grama Panchayat,Udma,3
Pullur-Periya,Grama Panchayat,Pullur-Periya Grama Panchayat,Udma,3
Udma,Grama Panchayat,Udma Grama Panchayat,Udma,3
Kanhangad Muncipality,Grama Panchayat,Kanhangad Muncipality Grama Panchayat,Kanhangad,4
Ajanur,Grama Panchayat,Ajanur Grama Panchayat,Kanhangad,4
Balal,Grama Panchayat,Balal Grama Panchayat,Kanhangad,4
Kallar,Grama Panchayat,Kallar Grama Panchayat,Kanhangad,4
Kinanoor – Karindalam,Grama Panchayat,Kinanoor – Karindalam Grama Panchayat,Kanhangad,4
Kodom-Belur,Grama Panchayat,Kodom-Belur Grama Panchayat,Kanhangad,4
Madikai,Grama Panchayat,Madikai Grama Panchayat,Kanhangad,4
Panathady,Grama Panchayat,Panathady Grama Panchayat,Kanhangad,4
Cheruvathur,Grama Panchayat,Cheruvathur Grama Panchayat,Trikaripur,5
East Eleri,Grama Panchayat,East Eleri Grama Panchayat,Trikaripur,5
Kayyur-Cheemeni,Grama Panchayat,Kayyur-Cheemeni Grama Panchayat,Trikaripur,5
Nileshwar,Grama Panchayat,Nileshwar Grama Panchayat,Trikaripur,5
Padne,Grama Panchayat,Padne Grama Panchayat,Trikaripur,5
Pilicode,Grama Panchayat,Pilicode Grama Panchayat,Trikaripur,5
Trikaripur,Grama Panchayat,Trikaripur Grama Panchayat,Trikaripur,5
Valiyaparamba,Grama Panchayat,Valiyaparamba Grama Panchayat,Trikaripur,5
West Eleri,Grama Panchayat,West Eleri Grama Panchayat,Trikaripur,5
Payyannur Municipality,Municipality,Payyannur Municipality,Payyannur,6
Cherupuzha,Grama Panchayat,Cherupuzha Grama Panchayat,Payyannur,6
Eramamkuttoor,Grama Panchayat,Eramamkuttoor Grama Panchayat,Payyannur,6
Kankole–Alapadamba,Grama Panchayat,Kankole–Alapadamba Grama Panchayat,Payyannur,6
Karivellur Peralam,Grama Panchayat,Karivellur Peralam Grama Panchayat,Payyannur,6
Peringome Vayakkara,Grama Panchayat,Peringome Vayakkara Grama Panchayat,Payyannur,6
Ramanthali,Grama Panchayat,Ramanthali Grama Panchayat,Payyannur,6
Cherukunnu,Grama Panchayat,Cherukunnu Grama Panchayat,Kalliasseri,7
Cheruthazham,Grama Panchayat,Cheruthazham Grama Panchayat,Kalliasseri,7
Ezhome,Grama Panchayat,Ezhome Grama Panchayat,Kalliasseri,7
Kadannappalli-Panapuzha,Grama Panchayat,Kadannappalli-Panapuzha Grama Panchayat,Kalliasseri,7
Kalliasseri,Grama Panchayat,Kalliasseri Grama Panchayat,Kalliasseri,7
Kannapuram,Grama Panchayat,Kannapuram Grama Panchayat,Kalliasseri,7
Kunhimangalam,Grama Panchayat,Kunhimangalam Grama Panchayat,Kalliasseri,7
Madayi,Grama Panchayat,Madayi Grama Panchayat,Kalliasseri,7
Mattool,Grama Panchayat,Mattool Grama Panchayat,Kalliasseri,7
and Pattuvam,Grama Panchayat,and Pattuvam Grama Panchayat,Kalliasseri,7
Taliparamba Municipality,Municipality,Taliparamba Municipality,Taliparamba,8
Chapparapadavu,Grama Panchayat,Chapparapadavu Grama Panchayat,Taliparamba,8
Kurumathur,Grama Panchayat,Kurumathur Grama Panchayat,Taliparamba,8
Kolacherry,Grama Panchayat,Kolacherry Grama Panchayat,Taliparamba,8
Kuttiattoor,Grama Panchayat,Kuttiattoor Grama Panchayat,Taliparamba,8
Malapattam,Grama Panchayat,Malapattam Grama Panchayat,Taliparamba,8
Mayyil,Grama Panchayat,Mayyil Grama Panchayat,Taliparamba,8
and Pariyaram,Grama Panchayat,and Pariyaram Grama Panchayat,Taliparamba,8
Chengalayi,Grama Panchayat,Chengalayi Grama Panchayat,Irikkur,9
Eruvassy,Grama Panchayat,Eruvassy Grama Panchayat,Irikkur,9
Irikkur,Grama Panchayat,Irikkur Grama Panchayat,Irikkur,9
Payyavoor,Grama Panchayat,Payyavoor Grama Panchayat,Irikkur,9
Sreekandapuram,Grama Panchayat,Sreekandapuram Grama Panchayat,Irikkur,9
Alakode,Grama Panchayat,Alakode Grama Panchayat,Irikkur,9
Naduvil,Grama Panchayat,Naduvil Grama Panchayat,Irikkur,9
Udayagiri,Grama Panchayat,Udayagiri Grama Panchayat,Irikkur,9
Ulikkal,Grama Panchayat,Ulikkal Grama Panchayat,Irikkur,9
Azhikode,Grama Panchayat,Azhikode Grama Panchayat,Azhikode,10
Chirakkal,Grama Panchayat,Chirakkal Grama Panchayat,Azhikode,10
Narath,Grama Panchayat,Narath Grama Panchayat,Azhikode,10
Pallikkunnu,Grama Panchayat,Pallikkunnu Grama Panchayat,Azhikode,10
Pappinisseri,Grama Panchayat,Pappinisseri Grama Panchayat,Azhikode,10
Puzhathi,Grama Panchayat,Puzhathi Grama Panchayat,Azhikode,10
Valapattanam,Grama Panchayat,Valapattanam Grama Panchayat,Azhikode,10
Kannur Municipality,Municipality,Kannur Municipality,Kannur,11
Chelora,Grama Panchayat,Chelora Grama Panchayat,Kannur,11
Edakkad,Grama Panchayat,Edakkad Grama Panchayat,Kannur,11
Elayavoor,Grama Panchayat,Elayavoor Grama Panchayat,Kannur,11
Munderi,Grama Panchayat,Munderi Grama Panchayat,Kannur,11
Anjarakandy,Grama Panchayat,Anjarakandy Grama Panchayat,Dharmadam,12
Chembilode,Grama Panchayat,Chembilode Grama Panchayat,Dharmadam,12
Kadambur,Grama Panchayat,Kadambur Grama Panchayat,Dharmadam,12
Muzhappilangad,Grama Panchayat,Muzhappilangad Grama Panchayat,Dharmadam,12
Peralasseri,Grama Panchayat,Peralasseri Grama Panchayat,Dharmadam,12
and Dharmadam,Grama Panchayat,and Dharmadam Grama Panchayat,Dharmadam,12
Pinarayi,Grama Panchayat,Pinarayi Grama Panchayat,Dharmadam,12
Vengad,Grama Panchayat,Vengad Grama Panchayat,Dharmadam,12
Thalassery Municipality,Municipality,Thalassery Municipality,Thalassery,13
Chockli,Grama Panchayat,Chockli Grama Panchayat,Thalassery,13
Eranholi,Grama Panchayat,Eranholi Grama Panchayat,Thalassery,13
Kadirur,Grama Panchayat,Kadirur Grama Panchayat,Thalassery,13
New–Mahe,Grama Panchayat,New–Mahe Grama Panchayat,Thalassery,13
Panniyannur,Grama Panchayat,Panniyannur Grama Panchayat,Thalassery,13
Kuthuparamba Municipality,Municipality,Kuthuparamba Municipality,Kuthuparamba,14
Kariyad,Grama Panchayat,Kariyad Grama Panchayat,Kuthuparamba,14
Kottayam –Malabar,Grama Panchayat,Kottayam –Malabar Grama Panchayat,Kuthuparamba,14
Kunnothuparambu,Grama Panchayat,Kunnothuparambu Grama Panchayat,Kuthuparamba,14
Mokeri,Grama Panchayat,Mokeri Grama Panchayat,Kuthuparamba,14
Panoor,Grama Panchayat,Panoor Grama Panchayat,Kuthuparamba,14
Pattiom,Grama Panchayat,Pattiom Grama Panchayat,Kuthuparamba,14
Peringalam,Grama Panchayat,Peringalam Grama Panchayat,Kuthuparamba,14
Thriprangottur,Grama Panchayat,Thriprangottur Grama Panchayat,Kuthuparamba,14
Mattannur Municipality,Municipality,Mattannur Municipality,Mattannur,15
Chittariparamba,Grama Panchayat,Chittariparamba Grama Panchayat,Mattannur,15
Keezhallur,Grama Panchayat,Keezhallur Grama Panchayat,Mattannur,15
Koodali,Grama Panchayat,Koodali Grama Panchayat,Mattannur,15
Malur,Grama Panchayat,Malur Grama Panchayat,Mattannur,15
Mangattidam,Grama Panchayat,Mangattidam Grama Panchayat,Mattannur,15
Kolayad,Grama Panchayat,Kolayad Grama Panchayat,Mattannur,15
Thillenkeri,Grama Panchayat,Thillenkeri Grama Panchayat,Mattannur,15
and Padiyur-Kalliad,Grama Panchayat,and Padiyur-Kalliad Grama Panchayat,Mattannur,15
Aralam,Grama Panchayat,Aralam Grama Panchayat,Peravoor,16
Ayyankunnu,Grama Panchayat,Ayyankunnu Grama Panchayat,Peravoor,16
Kanichar,Grama Panchayat,Kanichar Grama Panchayat,Peravoor,16
Keezhur- Chavassery,Grama Panchayat,Keezhur- Chavassery Grama Panchayat,Peravoor,16
Kelakam,Grama Panchayat,Kelakam Grama Panchayat,Peravoor,16
Kottiyoor,Grama Panchayat,Kottiyoor Grama Panchayat,Peravoor,16
Muzhakkunnu,Grama Panchayat,Muzhakkunnu Grama Panchayat,Peravoor,16
